network,seed,pruning_level,method,achieved_sparsity,total_params,test_loss,test_acc,min_h1_degree,min_h2_degree,min_output_in_degree,any_disconnected_neuron,log10_total_paths,min_paths_to_a_class,spectral_radius,algebraic_connectivity
FrontLoaded,4,0.4,random,0.4,855010,1.9724520519256592,0.3034,1829,148,43,False,8.20820503971991,12915862.0,7.929126286812776,-13.55862002494165
FrontLoaded,4,0.6,magnitude,0.6,855010,1.5063951766967774,0.4764,766,89,36,False,7.827814106527851,5632545.0,12.003714579480981,-21.985180453489217
FrontLoaded,4,0.6,random,0.6,855010,2.1516331855773925,0.1866,1202,92,29,False,7.676293710068956,3844355.0,5.403524251587579,-8.252992075928564
FrontLoaded,4,0.8,magnitude,0.8,855010,1.9804586067199708,0.3181,194,23,13,False,6.935564345095397,553035.0,10.520200043780859,-20.90291678423132
FrontLoaded,4,0.8,random,0.8,855010,2.300888554763794,0.1,585,40,13,False,6.784507385821154,445027.0,2.9335621841710284,-4.635375294359086
FrontLoaded,4,0.9,magnitude,0.9,855010,2.264704642868042,0.1856,33,2,6,False,6.1106822825893925,61143.0,8.848490846108595,-22.197756559681572
FrontLoaded,4,0.9,random,0.9,855010,2.32454930267334,0.1,277,18,6,False,5.961118643873508,54784.0,1.73278876663589,-2.81120042544831
BackLoaded,0,0.0,baseline,0.0,855121,1.3191775623321533,0.538,4653,190,1581,False,9.94162558639499,874229760.0,14.67144726526984,-65.85734909863844
BackLoaded,0,0.2,magnitude,0.2,855121,1.3237920249938966,0.5374,3450,139,1086,False,9.617772081119641,399679479.0,14.638117509263594,-66.04582562976594
BackLoaded,0,0.2,random,0.2,855121,1.514141904067993,0.4654,3660,127,1238,False,9.65022753980682,438242855.0,11.877454387558059,-49.382386542809655
BackLoaded,0,0.4,magnitude,0.4,855121,1.358669353866577,0.5285,2339,96,621,False,9.194045174835354,135403116.0,14.374467822893266,-66.24328422662853
BackLoaded,0,0.4,random,0.4,855121,1.8446088571548462,0.3549,2696,92,913,False,9.270652235316994,181189505.0,8.990136134570555,-38.96051372217922
BackLoaded,0,0.6,magnitude,0.6,855121,1.6423585884094238,0.4153,1276,64,295,False,8.593156485016511,29940202.0,13.561773528981535,-64.25581245251149
BackLoaded,0,0.6,random,0.6,855121,2.0969549823760985,0.2715,1778,51,608,False,8.74270046456246,53578825.0,6.162067350386752,-25.44999971953824
BackLoaded,0,0.8,magnitude,0.8,855121,2.0511777912139895,0.2445,439,26,117,False,7.6911964809079905,3068298.0,11.305915855849783,-62.2658339960576
BackLoaded,0,0.8,random,0.8,855121,2.26433237953186,0.1237,840,22,305,False,7.859761150122706,6712280.0,3.3409768226500605,-13.413343606817463
BackLoaded,0,0.9,magnitude,0.9,855121,2.1840804924011232,0.181,138,3,97,False,7.046971105592035,641166.0,8.637908069442645,
BackLoaded,0,0.9,random,0.9,855121,2.3098250385284422,0.1028,407,8,179,False,7.05526584371283,967423.0,1.9167202004729826,-8.171095991873791
BackLoaded,1,0.0,baseline,0.0,855121,1.3199132115364074,0.5349,4653,190,1581,False,9.94162558639499,874229760.0,14.74035180449392,-65.16305339248669
BackLoaded,1,0.2,magnitude,0.2,855121,1.3240756304740906,0.5347,3481,142,1066,False,9.615851363585492,392099412.0,14.705914668468694,-65.00281644293548
BackLoaded,1,0.2,random,0.2,855121,1.5341937772750855,0.4531,3655,133,1229,False,9.64925734162246,435107650.0,11.9527153284786,-54.32557128630042
BackLoaded,1,0.4,magnitude,0.4,855121,1.3798609937667847,0.5194,2372,102,619,False,9.187807025042353,134455083.0,14.434816558921524,-64.80345886117567
BackLoaded,1,0.4,random,0.4,855121,1.8057114503860474,0.3852,2712,89,903,False,9.268367218433934,179876367.0,9.070147195585326,-41.8799963295197
BackLoaded,1,0.6,magnitude,0.6,855121,1.6277496561050415,0.4199,1312,65,292,False,8.584548883674806,29882279.0,13.62779807308829,-62.37988131253782
BackLoaded,1,0.6,random,0.6,855121,2.079217646408081,0.272,1765,53,604,False,8.74202026904571,53526296.0,6.222612903800218,-28.911808205570676
BackLoaded,1,0.8,magnitude,0.8,855121,2.0284797313690186,0.2638,452,23,129,False,7.693200729524698,3365190.0,11.321928860572594,-55.8431884769664
BackLoaded,1,0.8,random,0.8,855121,2.2754174991607665,0.1264,869,19,309,False,7.863191903566538,6832490.0,3.396016155492445,-13.654848554257912
BackLoaded,1,0.9,magnitude,0.9,855121,2.1763123016357424,0.2007,143,3,112,False,7.033277639071384,713607.0,8.538452598350492,
BackLoaded,1,0.9,random,0.9,855121,2.315721586227417,0.1109,418,6,193,False,7.065150137084258,1061764.0,1.925568485593396,-7.168231270759963
BackLoaded,2,0.0,baseline,0.0,855121,1.3168561353683472,0.5326,4653,190,1581,False,9.94162558639499,874229760.0,14.483990418547554,-60.498012385121086
BackLoaded,2,0.2,magnitude,0.2,855121,1.320959180545807,0.531,3398,139,1049,False,9.612386764187935,385936423.0,14.451851317101807,-60.37507578994728
BackLoaded,2,0.2,random,0.2,855121,1.4997761827468872,0.4668,3639,132,1244,False,9.64742293852892,440271338.0,11.672776667847959,-48.476996639783124
BackLoaded,2,0.4,magnitude,0.4,855121,1.3624068922042847,0.5208,2269,100,598,False,9.18162670199153,130389068.0,14.201043660525695,-63.25131456908674
BackLoaded,2,0.4,random,0.4,855121,1.7864043912887573,0.3886,2701,94,911,False,9.268111801720845,181346335.0,8.889836914682263,-37.686505620375826
BackLoaded,2,0.6,magnitude,0.6,855121,1.6522944631576537,0.4046,1312,58,276,False,8.57368336740179,28350844.0,13.394585780239732,-60.647033381675854
BackLoaded,2,0.6,random,0.6,855121,2.077675750350952,0.2773,1775,57,598,False,8.738939218167134,53112494.0,6.093837478229841,-27.568054631407822
BackLoaded,2,0.8,magnitude,0.8,855121,2.0211279556274415,0.2736,435,17,120,False,7.690912995638282,3069775.0,11.15095438278491,-52.630843529385864
BackLoaded,2,0.8,random,0.8,855121,2.2734790699005125,0.1322,849,21,304,False,7.853768581245071,6693856.0,3.315696467139305,-14.049129387111961
BackLoaded,2,0.9,magnitude,0.9,855121,2.1715555072784425,0.193,132,2,108,False,7.031154681339782,686379.0,8.448319530681125,
BackLoaded,2,0.9,random,0.9,855121,2.3070284591674803,0.1039,419,7,193,False,7.059838144359197,1048942.0,1.925829848697643,-7.629691386456336
BackLoaded,3,0.0,baseline,0.0,855121,1.311557053375244,0.5345,4653,190,1581,False,9.94162558639499,874229760.0,14.751410158303287,-64.78735361397489
BackLoaded,3,0.2,magnitude,0.2,855121,1.313373982810974,0.5354,3464,139,1052,False,9.612074796348988,386658948.0,14.71506314004126,-65.47870989052808
BackLoaded,3,0.2,random,0.2,855121,1.4963364799499512,0.4736,3643,133,1238,False,9.650110270368597,438428343.0,11.93263197232832,-50.76111815920882
BackLoaded,3,0.4,magnitude,0.4,855121,1.34766067943573,0.5201,2305,97,586,False,9.182286087661735,127281557.0,14.456397633804066,-66.92786399115941
BackLoaded,3,0.4,random,0.4,855121,1.7975689472198486,0.3867,2701,87,901,False,9.277086468084361,179733988.0,9.046709891611865,-39.76795958996109
BackLoaded,3,0.6,magnitude,0.6,855121,1.5576060583114624,0.4455,1227,60,298,False,8.583183061975948,30478224.0,13.651570718451474,-64.5510855494414
BackLoaded,3,0.6,random,0.6,855121,2.0819076438903807,0.2698,1784,52,594,False,8.746738207793555,52701299.0,6.212079431820598,-27.703066702127572
BackLoaded,3,0.8,magnitude,0.8,855121,1.975070673751831,0.2957,411,19,130,False,7.6934896573420835,3352059.0,11.320663970048399,-57.727789348268445
BackLoaded,3,0.8,random,0.8,855121,2.2616040477752684,0.1477,854,20,310,False,7.856823096094217,6819290.0,3.3723502989229166,-14.41158352307806
BackLoaded,3,0.9,magnitude,0.9,855121,2.1242264026641844,0.2187,140,3,113,False,7.033634417634632,691159.0,8.575319897487653,
BackLoaded,3,0.9,random,0.9,855121,2.310210479736328,0.117,407,8,184,False,7.049760048299703,992439.0,1.9248971439813374,-8.450276344900702
BackLoaded,4,0.0,baseline,0.0,855121,1.3083671626091002,0.5395,4653,190,1581,False,9.94162558639499,874229760.0,14.572158856487501,-65.63864122522209
BackLoaded,4,0.2,magnitude,0.2,855121,1.312368571281433,0.5373,3472,137,1010,False,9.60675138704423,371376602.0,14.538044731960724,-65.30049503024205
BackLoaded,4,0.2,random,0.2,855121,1.5158216123580932,0.4649,3637,132,1230,False,9.650161537080935,435493340.0,11.788098443169261,-53.80347718424974
BackLoaded,4,0.4,magnitude,0.4,855121,1.3581279174804688,0.5165,2335,101,570,False,9.177229094196266,124242705.0,14.300240709723251,-62.670947752403684
BackLoaded,4,0.4,random,0.4,855121,1.7776878625869752,0.3929,2712,88,916,False,9.275575662901447,182551412.0,9.031291893782885,-40.013252245616556
BackLoaded,4,0.6,magnitude,0.6,855121,1.6214568674087524,0.4132,1307,58,262,False,8.571853263681584,27030052.0,13.487169350961612,-61.63039917182363
BackLoaded,4,0.6,random,0.6,855121,2.104006303405762,0.2446,1786,55,588,False,8.746142250806576,51918457.0,6.173270485977949,-28.129103359490763
BackLoaded,4,0.8,magnitude,0.8,855121,1.999871841430664,0.2776,444,17,120,False,7.685150740940415,3203466.0,11.248668846574759,
BackLoaded,4,0.8,random,0.8,855121,2.279464349746704,0.1107,881,23,287,False,7.858149455805021,6310826.0,3.35082948192368,-15.284789105012655
BackLoaded,4,0.9,magnitude,0.9,855121,2.17846007232666,0.1962,156,2,103,False,7.03091158963346,684374.0,8.487204698006158,
BackLoaded,4,0.9,random,0.9,855121,2.3094599426269533,0.098,416,7,185,False,7.0624017240138555,1003307.0,1.939075953147827,-8.114563433196242
